"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"9260";"0270258J";"ECOLE PRIMAIRE PUBLIQUE -";"TREIS-SANTS-EN-OUCHE";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;4;81
"9298";"0270412B";"GROUPE SCOLAIRE PIERRE CHENE -";"SAINT-PIERRE-DU-BOSGUERARD";"NORMANDIE";"Bourgs ruraux";"PUBLIC";0;4;79
"9303";"0270422M";"ECOLE PRIMAIRE PUBLIQUE -";"VRAIVILLE";"NORMANDIE";"Bourgs ruraux";"PUBLIC";0;4;99
"9312";"0270459C";"ECOLE PRIMAIRE PUBLIQUE -";"INCARVILLE";"NORMANDIE";"Ceintures urbaines";"PUBLIC";0;5;115
"9314";"0270465J";"ECOLE PRIMAIRE PUBLIQUE JULES FERRY";"LOUVIERS";"NORMANDIE";"Centres urbains intermédiaires";"PUBLIC";0;9;214
"9334";"0270524Y";"ECOLE PRIMAIRE GRAINVILLE";"VAL D'ORGER";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;3;52
"9348";"0270582L";"ECOLE PRIMAIRE PUBLIQUE -";"HEUDICOURT";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;3;60
"9368";"0270639Y";"ECOLE PRIMAIRE -";"MARTOT";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;2;31
"9373";"0270663Z";"ECOLE ELEMENTAIRE PUBLIQUE -";"FIQUEFLEUR-EQUAINVILLE";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;2;44
"9379";"0270691E";"ECOLE PRIMAIRE LES CHATAIGNIERS";"APPEVILLE-ANNEBAULT";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;4;99
"9430";"0270910T";"ECOLE PRIMAIRE PUBLIQUE -";"CHENNEBRUN";"NORMANDIE";"Rural à habitat très dispersé";"PUBLIC";0;4;74
"9477";"0271141U";"ECOLE PRIMAIRE PUBLIQUE BOURNEVILLE";"BOURNEVILLE-SAINTE-CROIX";"NORMANDIE";"Bourgs ruraux";"PUBLIC";0;5;124
"9481";"0271152F";"ECOLE PRIMAIRE PUBLIQUE -";"SAINT-GERMAIN-LA-CAMPAGNE";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;4;82
"9494";"0271195C";"ECOLE PRIMAIRE PRIVEE NOTRE-DAME DU SACRE COEUR";"THIBERVILLE";"NORMANDIE";"Bourgs ruraux";"PRIVE";0;5;129
