"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"29285";"0651092J";"ECOLE PRIMAIRE PUBLIQUE DU BOURG DU BOURG";"ODOS";"TOULOUSE";"Ceintures urbaines";"PUBLIC";0;8;164
"29288";"0651095M";"ECOLE PRIMAIRE PUBLIQUE ORMEAU FIGAROL-ANATOLE FRANCE";"TARBES";"TOULOUSE";"Centres urbains intermédiaires";"PUBLIC";0;15;263
"29433";"0660392T";"ECOLE PRIMAIRE PUBLIQUE -";"OPOUL-PERILLOS";"MONTPELLIER";"Bourgs ruraux";"PUBLIC";0;5;98
"29434";"0660393U";"ECOLE ELEMENTAIRE PUBLIQUE SIMONE VEIL";"PEYRESTORTES";"MONTPELLIER";"Ceintures urbaines";"PUBLIC";0;6;133
"29465";"0660477K";"ECOLE MATERNELLE PUBLIQUE CHARLES PERRAULT";"TORREILLES";"MONTPELLIER";"Ceintures urbaines";"PUBLIC";0;4;83
"29617";"0670243A";"ECOLE MATERNELLE PUBLIQUE LES TILLEULS";"MARLENHEIM";"STRASBOURG";"#N/A";"PUBLIC";0;3;69
"29662";"0670306U";"ECOLE MATERNELLE PUBLIQUE JULES VERNE";"LA WANTZENAU";"STRASBOURG";"Petites villes";"PUBLIC";0;4;98
"29770";"0670639F";"ECOLE PRIMAIRE PUBLIQUE JEAN FREDERIC WENTZEL";"WISSEMBOURG";"STRASBOURG";"Petites villes";"PUBLIC";0;9;165
"29797";"0670722W";"ECOLE PRIMAIRE PUBLIQUE LES VIGNES";"NOTHALTEN";"STRASBOURG";"Rural à habitat dispersé";"PUBLIC";0;1;23
"29818";"0670792X";"ECOLE PRIMAIRE PUBLIQUE DU GIESSEN";"FOUCHY";"STRASBOURG";"Bourgs ruraux";"PUBLIC";0;6;120
